Top100Year,SongTitle,Artist,LyricsStatus,ReleaseYear,Genre,Lyrics,Label
2019,Raised On Country,Chris Young,True,2021,"Rhythm and blues, R&B/Soul",Got little southern drawl talk Little pickup truck highway Got little boot stomp walk Little neon lighting Friday Got Tennessee whiskey Raised cup raised Merle raised Willie Got attitude Joe Diffie Daddy family tradition someone cranks cannot help listen upbringing sounds like George Strait singing got give props radio know raised country reason survived Every breakup every party soundtrack life runs deep DNA raised Merle raised Willie Got attitude Joe Diffie Daddy family tradition someone cranks cannot help listen upbringing sounds like George Strait singing got give props radio know raised country raised country Learned lot living little love (Raised country music know something proud raised Merle raised Willie Got attitude Joe Diffie Daddy family tradition someone cranks cannot help listen upbringing sounds like George Strait singing got give props radio know raised country Yeah raised country (Raised country music raised country (Raised country music,Positive
2014,Keep Them Kisses Comin',Craig Campbell,True,2013,"Dance Pop, Neo-Soul",got hair got look eye says come get boy Lay love right yeah not going no got bottle wine got nothing time hands going man tonight ah yes cannot imagine nothing laying round tangled got buzz sipping little something need loving keep kisses coming long week missing want get lips mine Girl knew hey cannot imagine nothing laying round tangled got buzz sipping little something need loving keep kisses coming Yeah keep coming night not stop killing baby not stop driving crazy swear honey lips Baby give one long slow kiss cannot imagine nothing laying round tangled got buzz sipping little something need loving keep kisses coming Oh keep coming night hey,Positive
2021,"Jealousy, Jealousy",Olivia Rodrigo,True,2021,"Rap music, Pop, UK R&B",kind want throw phone across room see girls good true teeth perfect bodies Wish not care know beauty's not lack feels like weight back cannot let go Co-comparison killing slowly think think much 'Bout kids not know sick would rather rather Anyone anyone else jealousy jealousy Started following Started following see everyone getting things want happy not cool vintage clothes vacation photos cannot stand oh God sound crazy win not loss know true cannot help getting caught Co-co-comparison killing slowly think think much 'Bout kids not know sick would rather rather Anyone anyone else jealousy jealousy friends cool go every night daddy's nice car yeah living life Got pretty face pretty boyfriend want bad not even know see Happier prettier jealousy jealousy see losing get's jealousy jealousy Co-comparison killing slowly think think much 'Bout kids not know sick would rather rather oh oh Anyone anyone else anybody else Jealousy jealousy Oh sick would rather rather Anyone anyone else Jealousy jealousy Started following,Negative
2016,Stressed Out,twenty one pilots,True,2015,"Alternative rock, Reggae, Alternative hip hop, Rap rock, Alternative/Indie, Psychedelic pop, Pop","wish found better sounds no one's ever heard wish better voice sang better words wish found chords order new wish not rhyme every time sang told get older fears would shrink insecure care people think name's Blurryface care think name's Blurryface care think Wish could turn back time good old days mama sang us sleep stressed Wish could turn back time good old days mama sang us sleep stressed stressed Sometimes certain smell take back young come never able identify coming would make candle ever found Try sell never sell would probably sell one would brother nose clothes homegrown stone's throw creek used roam would remind us nothing really mattered student loans tree house homes would take latter name's Blurryface care think name's Blurryface care think Wish could turn back time good old days mama sang us sleep stressed Wish could turn back time good old days mama sang us sleep stressed Used play pretend give different names would build rocket ship would fly far away Used dream outer space laughing face saying ""Wake need make money yeah used play pretend give different names would build rocket ship would fly far away Used dream outer space laughing face saying ""Wake need make money yeah Wish could turn back time good old days mama sang us sleep stressed Wish could turn back time good old days mama sang us sleep stressed used play pretend used play pretend money used play pretend wake need money Used play pretend used play pretend money used play pretend wake need money Used play pretend give different names would build rocket ship would fly far away Used dream outer space laughing face saying ""Wake need make money yeah",Positive
2017,You Look Good,Lady Antebellum,True,2017,"Electropop, Pop","boat beach water sand back bar cold beer hand Breaking hearts breaking necks rolling street Heads turning day see thinking everybody better stand line need know body's coming tonight like ""Hey shades Like ""Oh way move bass Hold Whole room gets spinning second walk Baby look good day night look good fresh fine look good got everybody watching like cameras Hollywood Baby look good Ah baby look good Black dress nines New Year's pent floor roof make skyline spin Yeah killing boy black faded jeans not got work hard smiling Like ""Hey shades Like ""Oh way move bass Hold Whole room gets spinning second walk Baby look good day night look good fresh fine look good got everybody watching like cameras Hollywood Baby look good Ah baby look good thinking everybody better stand line need know body's coming tonight like ""Hey shades Like ""Oh way move bass Hold Whole room gets spinning second walk Baby look good day night look good fresh fine look good got everybody watching like cameras Hollywood Baby look good Ah come baby look good look good Baby look good",Positive
2016,Childs Play,Drake,True,2016,"R&B/Soul, Hip-Hop/Rap",Breaking news nights girlfriend went season opener basketball game Best believe fucking nights team fucking somebody basketball team game Right right yeah say bounce shit like whoa Yeah bounce shit like whoa not fairytale already know like Take mall get new outfit Girl child's play Bounce shit like whoa whoa whoa Whoa whoa heard stories already know like Take mall get new outfit Girl child's play Bounce shit like whoa yeah Bounce shit like whoa got fight Cheesecake? know love go Say acting lightship cannot take nowhere place families drive Camrys go Disney not need know business wilding super childish go CVS Kotex Bugatti took key tried hide cannot drive put mileage find awkward silence Mama saint yes raised real good not like not make give back hood not make give back say bounce shit like whoa Yeah bounce shit like whoa not fairytale already know like Take mall get new outfit Girl child's play Bounce shit like whoa whoa whoa Whoa whoa heard stories already know like Take mall get new outfit Girl child's play Bounce shit like whoa yeah Bounce shit like whoa Yeah rode dick like soldier rode like soldier rode like yeah yeah got yeah not want fall love know not someone trust know give Chanel like hug know knew couple friends way many girls slept bed Say different number one head Lying protect lot past checkered like Louis got Married twenties fun city love like college running back Pack bag gone end staying Took hood could never give back want let know someone love back Cadillac like Teddy Pendergrass Whippin' shit getting ready Riding rode like Melpomene soldier rode dick like soldier rode like soldier rode like jungle soldier rode dick like soldier rode like soldier rode like Melpomene soldier Burrrat stick stick Burrrat stick stick Burrrat stick stick Burrrat stick stick Burrrat stick stick Thank thanks Drake thanks baby Motherfuckers drunk tired Tired tired boss,Positive
2018,Born To Be Yours,Kygo & Imagine Dragons,True,2018,"Metal, Groove metal, Halloween music, Rock",know given hundred times know miracle not something ignore take fool take fool never knew anybody til knew never knew anybody til knew know rains oh pours know born never knew anybody til knew never knew anybody til knew know rains oh pours know born one Lost millions grain sand blowing wind never knew anybody til knew never knew anybody til knew know rains oh pours know born never knew anybody til knew never knew anybody til knew know rains oh pours know born born born born born born born born born born born born born born born born Oh woad Oh woad Born born born born born born born born born born born born born born born,Negative
2021,Calling My Phone,Lil Tjay Featuring 6LACK,True,2021,"Pop, UK R&B, Hip-Hop/Rap",Steady calling phone done told leave alone Know hurting see gone Dark clouds gone see storm not go back trust gone hold Hold ammo mho Get mind cannot get mind cannot get mind cannot get mind ammo mho cannot get mind cannot get mind cannot get mind cannot get mind ammo mho not trona play game no not want testing name no not trona feel pain no sorry feelings not no Used homie not gang no not night could claim no Traumatized hoping not rain no done put things done changed aura around world explore no Dora New bitch might drip Dior Ass fat shanty straight heat no Florida Bad know applaud No needs yeah talking boo please leave alone started told not lose Steady calling phone done told leave alone Know hurting see gone Dark clouds gone see storm not go back go back trust gone hold Hold ammo mho Get mind ooh wow cannot get mind yeah yeah cannot get mind mind cannot get mind ammo alright cannot get mind cannot get mind cannot get mind cannot get mind ammo mho not trona play no games love one kind could not fake love Earthquake make something shake love cannot even relate love Used gang oh not gang Used fun no got shame Used catch flights not playing Play words love night sing not trona play game no No cannot wear chain no not thing cannot take no Waitin' king could wait yeah remember days used adore Funny shit flipped like quarter Get new thing Fendi Dior Get mood swing gone tomorrow Steady calling phone done told leave alone Know hurting see gone Dark clouds gone see storm not go back (I not go back not trust gone hold hold Hold ammo mho Get mind cannot get mind cannot get mind cannot get mind ammo mind cannot get mind cannot get mind cannot get mind cannot get mind mho cannot,Positive
2018,I Like It,"Cardi B, Bad Bunny & J Balvin",True,2018,"Latin trap, Hip-Hop/Rap","Yeah baby like like got believe tell said like like got believe tell said like like like dollars like diamonds like stunting like shining like million dollar deals pen bitch signing like Balenciagas ones look like socks like going jeweler put rocks watch like texts exes want second chance like proving nights wrong say cannot (She cannot call Cardi Bardi banging body spicy mama hot tamale Hotter Somali fur coat Ferrari Hop stud jump coupe Big Dipper top roof Flexing bitches hard Eating halal driving Lam' Told bitch sorry 'Bout coins like Mario Yeah call Cardi B run shit like cardie Oh damn Diamond district jag (Gang said like like Certified know gang gang (Gang gang said like like Drop top blow brains (Wouh! said like like Oh handsome name (Yeah said like Oh need dollars catching (I said like like Beat like piñatas (I said like like Tell driver close curtains (I said like like sort Bad bitch make nervous (I said like Cardi B Chambean chamber per no japan Tú cameras toga Jordan boy regular spend club bank new religion bang en Latino gang gang yeah Trato de hacker diet per es due en el closet tango much grass Ya mud law Gucci pay dextro de casa yet Cabrón ti no concern en Plaza El Diablo llama per Jesucristo ablaze Guerrero come Eddie due viva la raze yet guitar guitar cabana gust el cento de (¿Qué hub Como move el cult la dominican (¿Qué lo queen Lo rich due china Andamos actives Perico Pin Pin Billetes de lien en el Que resume el banjo Bobby Valentín yet Aquí es prohibit afar miles Charytín Que palm picot let tango Claritín Yo legs la disco form el moon Diamond district jag (Gang said like like Bad Bunny baby Certified know gang gang (Gang gang said like like Drop top blow brains (Wouh! said like like Oh handsome name (Yeah said like Oh need dollars catching (I said like like Beat like piñatas (I said like like Tell driver close curtains (I said like like sort Bad bitch make nervous (I said like Como Celia Cruz tango el Tu java via fun de echo come Jimmy Snuka Te vamps lumbar la pluck barranca palm cargo cabin due ti no vote past la hookah (Hookah hookah Mis tennis Balenciaga recipe en la entrap Pa-pa-pa-parazzi like Lady Gaga no hags Que en cover de Billboard vista mi care No salvo de monte Donde queers due vines ""Mi Gente"" Yo no soy high soy come el Testarossa Yo soy el due la vive el due la goa (Goza goal Es la cost mama es la cost (Cosa cost El due lira sure el due toga goa (Goza goal said like like said like like said like like said like like Diamond district jag (Gang said like like Certified know gang gang (Gang gang said like like Drop top blow brains (I said like like Oh handsome name (I said like",Positive
2018,Get Along,Kenny Chesney,True,2018,"Dance/Electronic, Pop, German Pop, UK R&B","Met man wearing shirt said ""Virginia lovers Bible left hand bottle said ""All really given sunshine name started laughing sky started rain Get along road got long long way go Scared live scared die not perfect try Get along Always give love upper hand Paint wall learn dance Call mom buy boat Drink beer sing song Make friend cannot get along Saw model billboard get know Wondered eyes really lonely leave hometown thinking would end L.A.? break desert get stuck beside highway Get along road got long long way go Scared live scared die not perfect try Get along Always give love upper hand Paint wall learn dance Call mom buy boat Drink beer sing song Make friend cannot get along find die keys heaven cannot bought still not know love sure know not Sometimes got get along road got long long way go Scared live scared die not perfect try Get along Always give love upper hand Paint wall learn dance Call mom buy boat Drink beer sing song Make friend cannot get along",Positive
