Top100Year,SongTitle,Artist,LyricsStatus,ReleaseYear,Genre,Lyrics,Label
2014,Rude,MAGIC!,True,2014,"Reggae fusion, Pop","Saturday morning jumped bed put best suit Got car raced like jet way Knocked door heart hand ask question know old fashioned man Yeah daughter rest life Say yes say yes need know say never get blessing til day die ""Tough luck friend answer not got rude not know human got rude going marry anyway (Marry girl marry anyway (Marry girl yeah no matter say (Marry girl family got rude hate leave no choice Cannot live without Love hate Standin' alter run away another galaxy know know love go anywhere go daughter rest life Say yes say yes need know say never get blessing day die ""Tough luck friend answer's still not got rude not know human got rude going marry anyway (Marry girl marry anyway (Marry girl no matter say (Marry girl family got rude Rude daughter rest life Say yes say yes need know say never get blessing til day die ""Tough luck friend no still means not got rude not know human got rude going marry anyway (Marry girl marry anyway (Marry girl no matter say (Marry girl family got rude Oh yeah oh got rude Why? got rude",Negative
2014,On Top Of The World,Imagine Dragons,True,2012,"Pop rock, Alternative/Indie, Folk rock",love somebody Better tell may run away never know went well depends long time left highest mountains deepest rivers not til move take not look top world key top world key Waiting Paying dues dirt waiting smile key holding key Take dreaming since child top world tried cut corners Try take easy way kept falling short something could gave could not traveled way something take not look top world key top world key Waiting Paying dues dirt waiting smile key holding key Take dreaming since child top world top world key top world key Waiting Paying dues dirt waiting smile key holding key Take dreaming since child know hard falling long way hit ground Get get get know hard falling long way hit ground Get get get top world key top world key Waiting Paying dues dirt waiting smile key holding key Take dreaming since child top world,Positive
2014,Human,Christina Perri,True,2014,"Children's Music, Dance/Electronic, Pop",hold breath bite tongue stay awake days want number one fake smile force laugh dance play part ask Give human bleed fall human crash break words head knives heart build fall apart human turn good machine hold weight worlds need everything get human bleed fall human crash break words head knives heart build fall apart human human human little human take much 'Til enough human bleed fall human crash break words head knives heart build fall apart human,Negative
2014,Good Kisser,Usher,True,2015,"Dance Pop, Neo-Soul",Yeah say let see Make every minute worth baby Usher baby watch done around world done kissed lot girls guessing true Make holly bet million dollars not nobody kiss like huh not nobody kiss like not nobody kiss like baobab not nobody kiss like not nobody kiss like uh uh five morning Kush rolling making steak eggs yeah five morning one thing See told devil lie girls cannot compete mine good fuck mind pull open wide make want tap retire pretty lips leave inspired uh huh think winner could keeper good kisser Got lipstick leg oh baby ooh oh good kisser rain parade oh baby ooh Let tell ya something uh done around world done kissed lot girls guessing true Make holly bet million dollars not nobody kiss like not nobody kiss like not nobody kiss like baobab not nobody kiss like not nobody kiss like girl hero Get diner euros pesos francs yen (I not one trick either staring barrel Pull trigger shitty shitty bang babe Whatever want told devil lie girls cannot compete mine good fuck mind pull open wide make want tap retire pretty lips leave inspired think got winner Could keeper good kisser Got lipstick leg oh baby ooh oh good kisser rain parade oh baby ooh Listen thing know give baby good flow ooh oh not ever run back come keep going give give give I-I cannot keep control Every time see hit floor keep giving want come baby give give hey hey Kiss good kiss right Keep kissing night kissing night Kiss good kiss right Keep kissing night ooh ah Kiss good kiss right Keep kissing night night Kiss good kiss right Keep kissing night Kisser got lipstick leg good kisser Oh baby good kisser ah rain parade train parade Oh baby saw uh done around world done kissed lot girls guessing true Make holly bet million dollars not nobody kiss like huh not nobody kiss like not nobody kiss like baobab not nobody kiss like not nobody kiss like uh uh,Positive
2014,Wasted,Tiesto Featuring Matthew Koma,True,2014,"Alternative/Indie, R&B/Soul, Dance/Electronic, Pop, MORE",glass half empty Sipping ocean dry Emotionally spin 'Till none planets could align could stand one night either way miss grief give energy live without could stand one night like us better wasted makes easier fake time really talk clothes coming like us better wasted like us better wasted makes easier say Lay laundry bed lay instead like us better wasted,Positive
2014,Love Never Felt So Good,Michael Jackson & Justin Timberlake,True,2014,"Disco, Soul music, Dance Pop",Baby love never felt good would doubt ever could Not like hold hold Oh baby love never felt fine would doubt never mine Not like hold hold night going fine Got fly got see cannot wait cannot take baby every time love life baby Tell really love life baby baby yes love never felt good Baby love never felt fine fine would doubt ever mine Not like hold hold Oh baby love never felt good would doubt ever could Not like hold hold night going fine Got fly got see cannot believe cannot take baby every time love life baby Tell really love life driving crazy Baby love never felt good Baby love never felt fine would doubt mine mine Not like hold hold Oh baby love never felt good good would doubt ever could Not like hold hold night going fine Got fly got see Cannot believe cannot take baby every time love life baby Tell really love life driving crazy baby love never felt good good Oh never felt good Never felt good not know never felt good Never felt good yeah yeah Alright fine,Positive
2014,Problem,Ariana Grande Featuring Iggy Azalea,True,2014,"Contemporary R&B, R&B/Soul, Pop",Uh-huh! Iggy Iggs! got one problem girl hey Hey baby even though hate ya want love ya (I want even though cannot forgive ya really want (I want Tell tell baby cannot leave even though not want got (I want Head clouds Got no weight shoulders wiser realize got One less problem without ya got one less problem without ya got one less problem without ya (I got one less one less problem Problem problem problem (I got one less one less problem Let us go know never going wake got give know not ever call back let come back Every time touch say love get little bit breathless not want Head clouds Got no weight shoulders wiser realize got One less problem without ya got one less problem without ya got one less problem without ya (I got one less one less problem Problem problem problem (I got one less one less problem Iggy Iggs! Uh got Smart money betting better without no time forgetting saying know really really doubt understand life easy not around Iggy Iggy big stressing thinking love thought love presence best thing probably exit let go let back finally learned lesson No either want playing listening knowing cannot believe saying million yous baby boo not dumb got 99 problems not one Like Mm-mm one less one less problem Mm-mm yeah one less one less problem Head clouds Got no weight shoulders wiser realize got One less problem without ya got one less problem without ya no babe got one less problem without ya ooh ooh baby (I got one less one less problem Problem problem problem (I got one less one less problem problem Hey got one less one less yeah (I got one less one less problem,Negative
2014,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,True,2014,"Dance Pop, Neo-Soul",Swiff sitting studio trona get baby song fucking dope girl harder not blaze tell truth wish booth blazing sitting studio trona get baby See studio trona get baby night laying verses though would rather lay baby Bra panties matching nail toes kind lady Angel Heaven goddess night praying sitting studio trona get baby song fucking dope girl harder not blaze tell truth wish booth blazing sitting studio trona get baby need real night shorty come throw pussy shorty See think make little verse get naked See heart not meant breaking Cupid's never mistaken See caught moment Shit type not quite type gangsta night twist weed hit ya hit type without hat Put pussy map see qualities bad girl know ass got come attitude swag girl not wrong girl door knock lose thong girl girl girl girl girl girl girl sitting studio trona get baby song fucking dope girl harder not blaze tell truth wish booth blazing sitting studio trona get baby Throw lot pussy girl knowing night faded hit pussy way want record playing Put tongue different places play game operation Like lava lava get saying No metaphors nothing like keeping straight point put dick inside sitting studio trona get baby song fucking dope girl harder not blaze tell truth wish booth blazing sitting studio trona get baby sitting studio trona get baby song fucking dope girl harder not blaze tell truth wish booth blazing sitting studio trona get baby,Positive
2015,Can't Feel My Face,The Weeknd,True,2015,"Pop rock, Country pop, Pop",know death least numb always get best worst yet come least beautiful stay forever young know yeah know told not worry told not worry no know cannot go without told never love oh oh woo cannot feel face love love oh cannot feel face love love oh know death least numb always get best worst yet come misery necessary deep love know girl know told not worry told not worry no know cannot go without told never love oh oh woo cannot feel face love love oh cannot feel face (I cannot feel nothing love love love oh cannot feel face love love love love oh cannot feel face love love love love oh told not worry told not worry no know cannot go without told never love oh oh woo cannot feel face (I cannot feel face love love love oh love oh cannot feel face said cannot feel face love love love oh cannot feel face face love love love not think cannot cannot feel face (I cannot feel face love baby love baby cannot feel far,Negative
2015,Beautiful Now,Zedd Featuring Jon Bellion,True,2015,"Progressive house, Classical, Alternative/Indie, R&B/Soul, MORE",see wearing nothing beneath Forgive staring forgive breathing might not know might not know baby tonight beautiful beautiful beautiful might not know might not know baby tonight beautiful light sky open clouds baby tonight beautiful beautiful beautiful Wherever going going chase left moment not going waste Stranded together worlds collided not forever try fight beautiful beautiful might not know might not know baby tonight beautiful light sky open clouds baby tonight beautiful beautiful beautiful Let us live tonight like fireflies one one light sky disappear pass crown beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful beautiful,Positive
