Top100Year,SongTitle,Artist,LyricsStatus,Lyrics,ReleaseYear,Genre
2014,Fancy,Iggy Azalea Featuring Charli XCX,False,,2014,"UK R&B, Hip-Hop/Rap, UK Rap"
2014,Problem,Ariana Grande Featuring Iggy Azalea,True,"Uh-huh!
It's Iggy Iggs!
I got one more problem with you girl, hey!
Hey baby, even though I hate ya, I wanna love ya (I want you)
And even though I can't forgive ya, I really want to (I want you)
Tell me, tell me, baby, why can't you leave me?
'Cause even though I shouldn't want it, I gotta have it (I want you)
Head in the clouds
Got no weight on my shoulders
I should be wiser, and realize that I've got
One less problem without ya
I got one less problem without ya
I got one less problem without ya (I got one less, one less problem)
Problem, problem, problem (I got one less, one less problem)
Let's go
I know you're never gonna wake up
I gotta give up (but it's you)
I know I shouldn't ever call back or let you come back (but it's you)
Every time you touch me and say you love me, I get a little bit breathless
I shouldn't want it (but it's you)
Head in the clouds
Got no weight on my shoulders
I should be wiser, and realize that I've got
One less problem without ya
I got one less problem without ya
I got one less problem without ya (I got one less, one less problem)
Problem, problem, problem (I got one less, one less problem)
It's Iggy Iggs!
Uh, what you got?
Smart money bettin' I'll be better off without you
In no time I'll be forgettin' all about you
You sayin' that you know but I really, really doubt you understand
My life is easy when I ain't around you
Iggy Iggy, too big to be here stressin'
I'm thinkin' I love the thought of you more than I love your presence
And the best thing now is probably for you to exit
I let you go, let you back, I finally learned my lesson
No half-stepping, either you want it or you just playin'
I'm listenin' to you knowin' I can't believe what you're sayin'
There's a million yous, baby boo, so don't be dumb
I got 99 problems but you won't be one
Like what
Mm-mm na-na-na (one less, one less problem)
Mm-mm, yeah (one less, one less problem)
Head in the clouds
Got no weight on my shoulders
I should be wiser, and realize that I've got
One less problem without ya (hey)
I got one less problem without ya (no, babe)
I got one less problem without ya (ooh, ooh, baby) (I got one less, one less problem)
Problem, problem, problem (I got one less, one less problem, problem)
Hey
I got one less, one less, yeah (I got one less, one less problem)",2014,"Contemporary R&B, R&B/Soul, Pop"
2014,Rude,MAGIC!,True,"Saturday mornin', jumped out of bed
And put on my best suit
Got in my car and raced like a jet
All the way to you
Knocked on your door with heart in my hand
To ask you a question
'Cause I know that you're an old fashioned man
Yeah (yeah)
Can I have your daughter for the rest of my life?
Say yes, say yes, 'cause I need to know
You say I'll never get your blessin' 'til the day I die
""Tough luck, my friend, but the answer is no""
Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway
(Marry that girl) marry her anyway
(Marry that girl) yeah, no matter what you say
(Marry that girl) and we'll be a family
Why you gotta be so rude?
I hate to do this, you leave no choice
Can't live without her
Love me or hate me, we will be both
Standin' at that alter
Or we will run away
To another galaxy, you know
You know she's in love with me
She will go anywhere I go
Can I have your daughter for the rest of my life?
Say yes, say yes, 'cause I need to know
You say I'll never get your blessin' 'tll the day I die
""Tough luck, my friend, 'cause the answer's still no""
Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway
(Marry that girl) marry her anyway
(Marry that girl) no matter what you say
(Marry that girl) and we'll be a family
Why you gotta be so rude?
Rude
Can I have your daughter for the rest of my life?
Say yes, say yes, 'cause I need to know
You say I'll never get your blessin' 'til the day I die
""Tough luck, my friend, but no still means no""
Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway
(Marry that girl) marry her anyway
(Marry that girl) no matter what you say
(Marry that girl) and we'll be a family
Why you gotta be so rude?
Oh, yeah, oh
Why you gotta be so rude?
Why? (Yeah)
Why you gotta be so rude?",2014,"Reggae fusion, Pop"
2014,Am I Wrong,Nico & Vinz,True,"Am I wrong for thinking out the box from where I stay?
Am I wrong for saying that I'll choose another way?
I ain't trying to do what everybody else doing
Just cause everybody doing what they all do
If one thing I know, how far would I grow?
I'm walking down this road of mine, this road that I call home
So am I wrong for thinking that we could be something for real?
Now am I wrong for trying to reach the things that I can't see?
But that's just how I feel, that's just how I feel
That's just how I feel trying to reach the things that I can't see
Am I tripping for having a vision?
My prediction; I'mma be on the top of the world
Hope you, hope you don't look back, always do what you decide
Don't let them control your life, that's just how I feel
Fight for yours and don't let go, don't let them compare you, no
Don't worry, you're not alone, that's just how we feel
So am I wrong for thinking that we could be something for real?
Now am I wrong for trying to reach the things that I can't see?
But that's just how I feel, that's just how I feel
That's just how I feel trying to reach the things that I can't see
If you tell me I'm wrong, wrong
I don't wanna be right, right
If you tell me I'm wrong, wrong
I don't wanna be right
If you tell me I'm wrong, wrong
I don't wanna be right, right
If you tell me I'm wrong, wrong
I don't wanna be right
So am I wrong for thinking that we could be something for real?
Now am I wrong for trying to reach the things that I can't see?
But that's just how I feel, that's just how I feel
That's just how I feel trying to reach the things that I can't see
That's just how I feel
That's just how I feel
That's just how I feel trying to reach the things that I can't see",2014,"Reggae fusion, Pop"
2014,Stay With Me,Sam Smith,False,,2014,"Dance/Electronic, Pop, UK R&B"
2014,Wiggle,Jason Derulo Featuring Snoop Dogg,True,"Ayo Jason
(Oh, yeah)
Say somethin' to her
Holla at her
Haha, I got one question
Haha, how do you fit all that in them jeans? haha
You know what to do with that big fat butt
Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle
Just a little bit (Swing)
Patty cake patty cake with no hands
Got me in this club, making wedding plans
If I take pictures while you do your dance
I could make you famous on Instagram
Hot damn it (Woo)
Your booty like two planets (Woo)
Go ahead, and go ham sandwich (Woo)
Woah, I can't stand it
'Cause you know what to do with that big fat butt
Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle
Just a little bit (Swing)
Cadillac Cadillac, pop that trunk
Let's take a shot, alley oop that donk
Tired of working that nine to five
Oh, baby let me come and change your life
Hot damn it (Woo)
Your booty like two planets (Woo)
Go ahead, and go ham sandwich (Woo)
Woah, I can't stand it
'Cause you know what to do with that big fat butt
Wiggle, wiggle, wiggle
Wiggle, wiggle, wiggle (Wiggle, wiggle, wiggle)
Wiggle, wiggle, wiggle (Shake it shake it girl)
Just a little bit (Little bit, little bit, little bit)
Shake what your mamma gave you, misbehave you
I just wanna strip you, dip you, flip you, bubble bathe you
What they do, taste my raindrops, k boo?
Now what you're willing, what you wanting, what you may do
Completely separated 'til I deeply penetrate it
Then I take it out and wipe it off
Eat it, ate it, love it, hate it
Overstated, underrated, everywhere I been
Can you wiggle, wiggle for the D-O-double G again?
Come on baby, turn around (Turn around, turn around, turn around, yeah)
You're a star, girl, take a bow (Take a bow, take a bow, take a bow, haha, yeah)
It's just one thing that's killing me
How do you fit that in them jeans?
You know what to do with that big fat butt
Wiggle, wiggle, wiggle (Wiggle, wiggle, wiggle)
Wiggle, wiggle, wiggle (Wiggle, wiggle, wiggle)
Wiggle, wiggle, wiggle (Shake it shake it girl)
Just a little bit (Little bit, wiggle, wiggle, wiggle)
Now make it clap (Wiggle, wiggle, wiggle)
Now make it clap (Wiggle, wiggle, wiggle)
Love it when you do it like that
With no hands, baby, make it clap
Clap, clap, clap (like, swing)
Damn baby, you got a bright future behind you",2014,"R&B/Soul, Pop"
2014,All Of Me,John Legend,True,"What would I do without your smart mouth?
Drawing me in, and you kicking me out
You've got my head spinning, no kidding, I can't pin you down
What's going on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me, but I'll be alright
My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh
How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing in my head for you
My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you, oh-oh
Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning
'Cause I give you all of me
And you give me all of you
I give you all of me
And you give me all of you, oh-oh",2013,"R&B/Soul, Pop soul"
2014,Summer,Calvin Harris,True,"When I met you in the summer
To my heartbeat's sound
We fell in love
As the leaves turned brown
And we could be together, baby
As long as skies are blue
You act so innocent now
But you lied so soon
When I met you in the summer
When I met you in the summer
To my heartbeat's sound
We fell in love
As the leaves turned brown
And we could be together, baby
As long as skies are blue
You act so innocent now
But you lied so soon
When I met you in the summer
Summer
When I met you in the summer
Summer",2014,"Ambient, Dance Pop, House"
2014,Turn Down For What,DJ Snake & Lil Jon,True,"Fire up that loud
Another round of shots
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?
Fire up that loud
Another round of shots
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?
Fire up that loud
Another round of shots
Fire up that loud
Another round of shots
Fire up that loud
Another round of shots
Fire up that loud
Another round of shots
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what?
Turn down for what",2013,"Electronic dance music, Trap music, Dance/Electronic"
2014,Happy,Pharrell Williams,True,"It might seem crazy what I'm 'bout to say
Sunshine, she's here, you can take a break
I'm a hot air balloon that could go to space
With the air like I don't care, baby, by the way
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
Here come bad news talking this and that (yeah)
Well, give me all you got and don't hold it back (yeah)
Well, I should probably warn you I'll be just fine (yeah)
No offense to you, don't wanna waste your time
Here's why
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
Bring me down, can't nothing (happy)
Bring me down, my level's too high (happy)
Bring me down, can't nothing (happy)
Bring me down, I said (I tell you)
Bring me down, can't nothing (happy, happy, happy)
Bring me down, my level's too high (happy, happy, happy)
Bring me down, can't nothing (happy, happy)
Bring me down, I said (happy, happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know that happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know that happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
Bring me down, can't nothing (happy, happy, happy)
Bring me down, my level's too (happy, happy, happy)
Bring me down, can't nothing (happy, happy, happy)
Bring me down, I said (happy, happy, happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do",2014,"Soul music, Neo soul, Pop"
