Top100Year,SongTitle,Artist,LyricsStatus,Lyrics,ReleaseYear,Genre
2023,Last Night,Morgan Wallen,True,"Last night we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But baby, baby, something's tellin' me this ain't over yet
No way it was our last night
I kiss your lips
Make you grip the sheets with your fingertips
Last bottle of Jack, we split a fifth
Just talk about life goin' sip for sip, yeah
You, you know you love to fight
And I say shit, I don't mean
But I'm still gon' wake up wantin' you and me
I know that last night we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But baby, baby, something's tellin' me this ain't over yet
No way it was our last night (last night, last night)
No way it was our last night (last night, last night)
No way it was the last night that we break up
I see your tail lights in the dust
You call your momma, I call your bluff
In the middle of the night, pull it right back up
Yeah, my, my friends say, ""Let her go""
Your friends say, ""What the hell?""
I wouldn't trade your kind of love for nothin' else
Oh, baby, last night we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But baby, baby, something's tellin' me this ain't over yet
No way it was our last night, we said we'd had enough
I can't remember everything we said, but we said too much
I know you packed your shit and slammed the door right before you left
But baby, baby, something's tellin' me this ain't over yet
No way it was our last night (last night, last night)
No way it was our last night (last night, last night)
I know you said this time you really weren't coming back again
But baby, baby, something's tellin' me this ain't over yet
No way it was our last night (last night, last night)
No way it was our last night (last night, last night)",,
2023,Fast Car,Luke Combs,True,"You got a fast car
And I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere
Any place is better
Starting from zero, got nothing to lose
Maybe we'll make something
Me, myself, I got nothing to prove
You got a fast car
I got a plan to get us out of here
I've been working at the convenience store
Managed to save just a little bit of money
Won't have to drive too far
Just across the border and into the city
You and I can both get jobs
Finally, see what it means to be living
See, my old man's got a problem
He live with the bottle, that's the way it is
He says his body's too old for working
His body's too young to look like his
Mama went off and left him
She wanted more from life than he could give
I said, ""Somebody's got to take care of him""
So, I quit school and that's what I did
You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight, or live and die this way
So, I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I, I, I had a feeling that I belonged
I, I, I had a feeling I could be someone, be someone, be someone
You got a fast car
We go cruising, entertain ourselves
You still ain't got a job
So I work in a market as a checkout girl
I know things will get better
You'll find work and I'll get promoted
We'll move out of the shelter
Buy a bigger house, live in the suburbs
So, I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I, I, I had a feeling that I belonged
I, I, I had a feeling I could be someone, be someone, be someone
You got a fast car
I got a job that pays all our bills
You stay out drinking late at the bar
See more of your friends than you do of your kids
I'd always hoped for better
Thought maybe together you and me would find it
I got no plans, I ain't going nowhere
Take your fast car and keep on driving
So, I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I, I, I had a feeling that I belonged
I, I, I had a feeling I could be someone, be someone, be someone
You got a fast car
Is it fast enough, so you can fly away?
You still gotta make a decision
Leave tonight, or live and die this way",,
2023,Calm Down,Rema & Selena Gomez,True,"Another banger
Baby, calm down, calm down
Girl, this your body e put my heart for lockdown
For lockdown, oh, lockdown
Girl, you sweet like Fanta, Fanta
If I tell you say I love you no dey form yanga, oh, yanga
No tell me no, no, no, no, whoa-whoa-whoa-whoa
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love
You got me like, ""Whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa""
Shawty come gimme your lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love, mm-mm
I see this fine girl, for my party she wear yellow
Every other girl they dey do too much, but this girl mellow
Naim I dey find situation I go use take tell am hello
Finally I find way to talk to the girl but she no wan follow
Who you come dey form for? (Mm-hm)
Why you no wan comform? (Mm-hm)
Then I start to feel her bum-bum (mm-hm)
But she dey gimme small-small
I know say she sabi pass that one (mm-hm)
But she feeling insecure
'Cause her friends go dey gum her like chewing gum
Go dey gum her like chewing gum
Baby, calm down, calm down
Girl, this your body e put my heart for lockdown
For lockdown, oh, lockdown
Girl, you sweet like Fanta, Fanta
If I tell you say I love you no dey form yanga, oh, yanga
No tell me no, no, no, no, whoa-whoa-whoa-whoa
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love
You got me like, ""Whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa""
Shawty come gimme your lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love, mm-mm
As I reach my house I say make I rest small (make I rest small)
As me I wake up na she dey my mind (na she dey my mind)
Day one, day two, I no fit focus (I no fit focus)
Na so me I call am, say make we link up (say make we link up)
As I start to dey tell her how I feel, na my heart dey race
Baby girl, if you leave me I no go love again
Because e get many girls wey put my heart for pain
Shebi, you feel my pain?
Baby, calm down, calm down
Girl, this your body e put my heart for lockdown
For lockdown, oh, lockdown
Girl, you sweet like Fanta, Fanta
If I tell you say I love you no dey form yanga, oh, yanga
No tell me no, no, no, no, whoa-whoa-whoa-whoa
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Baby come gimme your lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love
You got me like, ""Whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa""
Shawty come gimme your lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-lo-love, mm-mm",,
2023,Flowers,Miley Cyrus,True,"We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn
Mm, I didn't wanna leave you
I didn't wanna lie
Started to cry, but then remembered I
I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can
Can love me better
I can love me better, baby
Can love me better
I can love me better, baby
Paint my nails cherry red
Match the roses that you left
No remorse, no regret
I forgive every word you said
Ooh, I didn't wanna leave you, baby
I didn't wanna fight
Started to cry, but then remembered I
I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can
Can love me better
I can love me better, baby
Can love me better
I can love me better, baby
Can love me better
I can love me better, baby
Can love me better
Oh, I
I didn't wanna leave you
I didn't wanna fight
Started to cry, but then remembered I
I can buy myself flowers (oh)
Write my name in the sand (mm)
Talk to myself for hours (yeah)
Say things you don't understand (you never will)
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can
Can love me better
I can love me better, baby (oh)
Can love me better
I can love me better (than you can), baby
Can love me better
I can love me better, baby
Can love me better
I",,
2023,All My Life,Lil Durk Featuring J. Cole,True,"Durkio told me he been on some positive shit, yeah, yeah
Lately, I just wanna show up and body some shit, yeah, yeah
Always been a lil' mathematician, lately it's cash I'm gettin'
Got me losin' count of these bags, I've been movin' too fast
Hard times don't last, 'member when cops harrassed
Talkin' out my ass, boy, you ain't shit but a bitch with a badge
All my life (all my life)
They been tryin' to keep me down (they been tryin' to keep me down)
All this time (all this time)
Never thought I would make it out (never thought I'd make it out)
They couldn't break me, they couldn't break me (no, no)
They couldn't take me, they couldn't take me (no)
All my life (all my life)
They been tryin' to keep me down (they been tryin' to keep me down)
I decided I had to finish, but the media called me a menace
I done sat with the mayor and politicians, I'm tryna change the image
You can't blame my past no more, I come from the trenches
Some said I'd never be a superstar, but I know I'm different (no, no, no)
I'm The Voice, but the system ain't give me a choice
Know some people that's still on deploy
I know a felon who tryna get FOID
Child support your only support
For a visit, I'm goin' through courts
Went to jail, they was chainin' me up
And you know that I'm famous as fuck
See how you gon' joke about stimulus?
But they really had came in the clutch
I know some kids wanna hurt they self
Stop tryna take drugs, I refer to myself
Tryna better myself, tryna better my health but
All my life (all my life)
They been tryin' to keep me down (they been tryin' to keep me down)
All this time (all this time)
Never thought I would make it out (never thought I'd make it out)
They couldn't break me, they couldn't break me (no, no)
They couldn't take me, they couldn't take me (no)
All my life (all my life)
They been tryin' to keep me down (they been tryin' to keep me down) (yeah)
First-generation ghetto nigga
Cole world, hello niggas
Made it out the city with my head on straight
Niggas keep shootin' up the lead out
Young Jordan Peele, gotta get out
'Cause the shit that I spit out
Is a cheat code like I'm facin' a RICO, how a nigga put a hit out
And another one, and, and another one
I got like a hundred of 'em
'Bout to lap niggas so they think they ahead of me, but I'm really in front of them
Now some of them fumblin' they bags
Fuckin' up the little crumbs that they had
A reminder to humble yourself, this shit could be gone in an instant
Me, I'm runnin' long distance
All pistons firin'
I be stuck between maybe retirin'
And feelin' like I'm just not hittin' my prime
These days seein' rappers be dyin'
Way before they even gettin' they shine
I never even heard of lil' buddy
'Til somebody murdered lil' buddy
Now I'm on the phone, searchin' lil' buddy name
Got to playin' his tunes, all day in my room
Thinkin', ""Damn, this shit wicked, to get they names buzzin'
Some niggas just gotta go lay in a tomb""
And media thirsty for clicks, I got a new rule
If you ain't never posted a rapper when he was alive
You can't post about him after he get hit
It's simple, it's the principle
On any tempo, I'm invincible
Don't even rap, I just vent to you
I rather that than an interview
Most days
Fuck 'em all like I'm goin' through a ho phase
Young nigga shoot out the whip like road rage
I pray all of my dawgs stay so paid
And the only thing that kill 'em is old age
All my life (all my life)
They been tryin' to keep me down (they been tryin' to keep me down)
All this time (all this time)
Never thought I would make it out (never thought I'd make it out)
They couldn't break me, they couldn't break me (no, no)
They couldn't take me, they couldn't take me (no)
All my life (all my life)
They been tryin' to keep me down (they been tryin' to keep me down)",,
2023,Favorite Song,Toosii,True,"But nobody's
Gonna make you change what you probably
Don't like anyway 'bout you darlin'
So, you might as well
Hmm-mmm
Be somebody
Who can make you face what you're guardin'
Open up the gates where your heart is
And just be yourself
Yeah, I'm on the stage right now, singin' your favorite song
Look in the crowd, and you're nowhere to be found as they sing along
I say, ""You look good without no make-up, no lashes
Even better when you wake up"" (oh, oh, oh)
I see the look on your face, I see you're hidin' the hate
I see you're lookin' for someone to scoop you right off of your feet
You want to ride in the Wraith
You want to go out on dates
You want somebody to come bring you flowers
Someone to talk to for hours
Wash your back while y'all sit in the shower
Someone to tell you, ""You're beautiful""
Someone to tell you and mean it
Someone to tell you, ""I love you, "" every day and don't got a-
You want someone to bring you peace (uh)
Someone to help you sleep (yeah)
Someone to pick you up, when you're feelin' down, feelin' lonely
Somebody who can make it better
Somebody who can open up those gates
Open up those gates to your heart
Only if you'll let me
I'm on the stage right now, singin' your favorite song
Look in the crowd, and you're nowhere to be found as they sing along
I say, ""You look good without no make-up, no lashes
Even better when you wake up"" (oh, oh, oh)
I see the look on your face, I see you're lookin' for peace
I see you're tired of the hurt, tired of the pain
Tired of the nights where you can't get no sleep
I see you're tired thinkin' 'bout if he cheat
See you tired thinkin' 'bout if you're leavin'
See you tired of bein' so tired
And you're damn sure ain't gettin'-
Need somebody who can make it better
Somebody who can open up those gates
Open up those gates to your heart
Only if you'll let me
I'm on the stage right now, singin' your favorite song
Look in the crowd, and you're nowhere to be found as they sing along
I say, ""You look good without no make-up, no lashes
Even better when you wake up"" (oh, oh, oh)
I see you're looking for peace
Tired of the nights where you can't get no sleep
I see you're tired thinkin' 'bout if you're leaving
And you're damn sure ain't gettin' even
Somebody who can make you face what you're guardin'
Open up the gates where your heart is
And just be yourself",,
2023,Karma,Taylor Swift Featuring Ice Spice,True,"You're talking shit for the hell of it
Addicted to betrayal, but you're relevant
You're terrified to look down
'Cause if you dare, you'll see the glare… Full lyrics",2022,"Disco, Synth-pop, Pop"
2023,Kill Bill,SZA,True,"I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one driving
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should
I might
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone
I get the sense that it's a lost cause
I get the sense that you might really love her
The text gon' be evidence, this text is evidence
I tried to ration with you, no murders or crimes of passion, but damn
You was out of reach
You was at the farmer's market with your perfect peach
Now I'm in the basement, planning home invasion
Now you laying face-down, got me singing over a beat
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will
(I might)
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone
I did it all for love (love)
I did it all on no drugs (drugs)
I did all of this sober
I did it all for us, oh
I did it all for love (love)
I did it all of this on no drugs (drugs)
I did all of this sober
Don't you know I did it all for us? (I'll kill your ass tonight)
Uh, I just killed my ex (my ex)
Not the best idea (idea)
Killed his girlfriend next, how'd I get here?
I just killed my ex (my ex)
I still love him, though (I do)
Rather be in Hell than alone",2022,"Pop music, R&B/Soul, Doo-wop, Psychedelic pop, pop soul"
2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",True,"Oooh,
Just can't believe this man
(Metro Boomin want some more --)
Somebody said they saw you
The person you were kissing wasn't me
And I would never ask you, I just kept it to myself
I don't wanna know, if you're playing me
Keep it on the low
Cause my heart can't take it anymore
And if you creeping, please don't let it show
Oh baby, I don't wanna know
I think about it when I hold you
When looking in your eyes, I can't believe
And I don't need to know the truth
But baby keep it to yourself
I don't wanna know, if you're playing me
Keep it on the low
Cause my heart can't take it anymore
And if you creeping, please don't let it show
Oh baby, I don't wanna know
Did he touch you better than me? (touch you better than me?)
Did he watch you fall asleep (watch you fall asleep?)
Did you show him all those things that you used to do to me?
If you're better off that way (better off that way)
Baby all that I can say (all that I can say)
If you're gonna do your thing, then don't come back to me
Ooh
Woah, woah, woah
21
Had me crushing, I was cuffing like the precinct
How you go from housewife to a sneaky link
Got you ridin round in all types of benz's and rovers
Girl you used to ride in a rinky dink
I'm the one put you in Eliante (on God)
Fashion Nova model, I put you on the runway (on God)
You was rocking coach bags, got you chanaynay
Side --in frisco, I call her my bae bae (21)
I got a girl but I still feel alone
If you playing me that mean my home aint home
Having nightmares of going through your phone (21)
Can't even record you got me out my zone
I don't wanna know, if you're playing me
Keep it on the low
Cause my heart can't take it anymore
And if you creeping, please don't let it show
Oh baby
I don't wanna know, if you're playing me
Keep it on the low
Cause my heart can't take it anymore
And if you creeping, please don't let it show
Oh baby I don't wanna know
If you creeping just don't let me find out (on God)
Get a hotel never bring him to the house (on God)
If you're better off that way (better off that way)
Baby all that I can say (all that I can say)
If you're gonna do your thing, then don't come back to me",2022,"Pop music, R&B/Soul, Doo-wop, Psychedelic pop, pop soul"
2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,True,"Compa, ¿qué le parece esa morra?
La que anda bailando sola me gusta pa' mí
Bella, ella sabe que está buena
Que todos andan mirándola cómo baila
Me acerco y le tiro todo un verbo
Tomamos tragos sin peros, solo tentación
Le dije
""Voy a conquistar tu familia, que en unos días vas a ser mía""
Me dijo
Que estoy muy loco pero le gusta
Que ningún vato como yo actúa
Y ahí te va, mija
Y pura doble P, viejo
Así nomas, compa Pedro
Puro Eslabón Armado
Pa' las plebitas
¡Cha-chau!
No soy un vato que tiene varo
Pero hablando del corazón, te cumplo todo
Me agarró pegadito de su mano
Mi compa ni se la creyó, que al pasar fui yo
Su cuerpo
Juro por Dios que era tan perfecto
Su cinturita como modelo
Sus ojos
Desde el principio me enamoraron
A ella le gusto y a mí me gusta
Translate to English",2023,"Corrido, Regional Mexican, Rock en Español, Hip-Hop/Rap"
